id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1508903710239465477,1508903710239465477,2022-03-29 23:27:33 EEST,2022-03-29,23:27:33,+0300,389431330,adham922,أدهم أبو سلمية #فلسطين 🇵🇸,,الأمور لا تحتاج لكثير من التحليل.. شعب يتعرض للاحتلال والحصار، ويُمارس عليه كل أشكال الفصل العنصري، وضغوط تجعل الحياة قاهرة مستحيلة!!! هل تتوقعون منه أن يلقي الورود على المحتل؟! لماذا حلال على الأوكراني أن يقاوم الغزو الروسي، وحرام على الفلسطيني مقاومة الاحتلال الاسرائيلي؟!!!,ar,[],[],[],22,116,611,[],[],https://twitter.com/adham922/status/1508903710239465477,False,,0,,,,,,,,[],,,,
1508899695556448265,1508899695556448265,2022-03-29 23:11:36 EEST,2022-03-29,23:11:36,+0300,1088212313348419584,alhasanitaleb,طالب الحسنيtaleb alhasani,,المعادلة الفلسطينية  كل جيل فلسطيني هو أقوى كل حكومة للعدو الاسرائيلي هي أضعف من التي قبلها . بينما حسابات الصهاينة كل جيل جديد هو أقرب للتعايش مع الاحتلال .  الكيان مؤقت  المحيط المطبع هو مؤقت . #فلسطين_قضيتي,ar,[],[],[],0,34,172,['فلسطين_قضيتي'],[],https://twitter.com/alhasanitaleb/status/1508899695556448265,False,,0,,,,,,,,[],,,,
1508893682321309705,1508893682321309705,2022-03-29 22:47:42 EEST,2022-03-29,22:47:42,+0300,1511863783,salehabuizzah,صالح أبو عزة,,الشهيد ضياء حمارشة، من يعبد في جنين، أسير محرر من سجون الإحتلال الإسرائيلي، ينتمي إلى حركة الجهاد الإسلامي في فلسطين، كنيته أبو المهند، نسبةً لشهيد الجهاد الإسلامي مهند الحلبي مفجّر ثورة السكاكين في عام 2015.  قبل أن يحصد 7 من الإسرائيليين، كانت آخر كلمات الشهيد ضياء: لا تصالح.,ar,[],[],[],5,48,253,[],[],https://twitter.com/salehabuizzah/status/1508893682321309705,False,,0,,,,,,,,[],,,,
1508888541811642377,1508888541811642377,2022-03-29 22:27:16 EEST,2022-03-29,22:27:16,+0300,507806924,m_shebrawy,الـشـبـراوي🇵🇸 #غـزَّة,,لوضع النقاط على الحروف، والكلام هذا موجه للاخوة خارج فلسطين ..لا يحق لأي شخص أن ينتقد أي مقاوم فلسطيني يقوم بتنفيذ عملية ضد الاحتلال الإسرائيلي بسبب انتماءات هذا المقاوم الحزبية،وأخيرًا تنتهي الانتماءات الحزبية عندما يكون الكفاح ضد الاحتلال، وعليه يصبح كل المقاومين منتمين لفلسطين,ar,[],[],[],12,25,201,[],[],https://twitter.com/M_shebrawy/status/1508888541811642377,False,,0,,,,,,,,[],,,,
1508870298388553735,1508870298388553735,2022-03-29 21:14:47 EEST,2022-03-29,21:14:47,+0300,553642281,bsewehli,بشير السويحلي,,هذه العمليات الاستشهادية التي يقوم بها أحرار وأبطال الشعب الفلسطيني ضد الاحتلال الإسرائيلي… هي رسالة واضحة وقوية للأنظمة العربية الخائنة المتخاذلة والتي وصلت بها الوقاحه والصفاقة ان تقوم بعقد لقاءاتها وقممها داخل #فلسطين المحتلة! حيا الله أبطال المقاومة الشجعان✌🏻🇵🇸,ar,[],[],[],6,7,182,['فلسطين'],[],https://twitter.com/BSewehli/status/1508870298388553735,False,,0,,,,,,,,[],,,,
1508489762763587594,1508489762763587594,2022-03-28 20:02:40 EEST,2022-03-28,20:02:40,+0300,1209068499055906818,tifaritib,Tifariti.belhaj🇪🇭🇩🇿🇿🇦🇨🇺 أتفاريتي. بلحاج,,المحادثة التي كانت بين وزير خارجية الكيان الإسرائيلي و وزير خارجية الأحتلال المغربي...😂😂😂😂  https://t.co/4cavSMyVt1,ar,[],[],['https://pbs.twimg.com/media/FO87ceBXwAQHU2q.jpg'],25,18,169,[],[],https://twitter.com/TifaritiB/status/1508489762763587594,False,,1,https://pbs.twimg.com/media/FO87ceBXwAQHU2q.jpg,,,,,,,[],,,,
1508451914488373255,1508451914488373255,2022-03-28 17:32:16 EEST,2022-03-28,17:32:16,+0300,252706472,fady_jouni,fadi jouni,,لعنكم الله يا أنظمة العار والتحية لأبطال فلسطين   وزير خارجية الاحتلال الإسرائيلي مع وزراء #أمريكا و #مصر و #الإمارات و #البحرين و #المغرب  https://t.co/Z5KcvrNAuY,ar,[],[],['https://pbs.twimg.com/media/FO8ZBP7XEAYWp5p.jpg'],8,14,127,"['أمريكا', 'مصر', 'الإمارات', 'البحرين', 'المغرب']",[],https://twitter.com/fady_jouni/status/1508451914488373255,False,,1,https://pbs.twimg.com/media/FO8ZBP7XEAYWp5p.jpg,,,,,,,[],,,,
1508435206981795841,1508435206981795841,2022-03-28 16:25:53 EEST,2022-03-28,16:25:53,+0300,1281273337839321088,n0_hizbollah,منشق عن حزب الله,,#حزب_الله  لم يحرر #لبنان  حزب الله احتل المناطق المحررة من الاحتلال الإسرائيلي و سرق اسم #المقاومة من أحزاب وطنية شاركت بتحرير #لبنان و قتل كل من كان يقاوم الاحتلال الإسرائيلي  وكل هذه المناطق تحررت قبل أن يسمع أحد بحزب الله #بيروت #جبل_لبنان #صيدا #شرق_صيدا #النبطية #صور  .,ar,[],[],[],2,55,130,"['حزب_الله', 'لبنان', 'المقاومة', 'لبنان', 'بيروت', 'جبل_لبنان', 'صيدا', 'شرق_صيدا', 'النبطية', 'صور']",[],https://twitter.com/N0_hizbollah/status/1508435206981795841,False,,0,,,,,,,,[],,,,
1508369645358698499,1508369645358698499,2022-03-28 12:05:22 EEST,2022-03-28,12:05:22,+0300,2166427412,hoseinmortada,hoseinmortada حسين مرتضى,,كلما حاول كيان الاحتلال الاسرائيلي مع بعض الدول المطبعة اظهار واقع معين يدل على التطبيع ، كلما ازدادت عمليات المقاومة ضد هذا الاحتلال  #الخضيرة,ar,[],[],[],5,13,284,['الخضيرة'],[],https://twitter.com/HoseinMortada/status/1508369645358698499,False,,0,,,,,,,,[],,,,
1508359426968891392,1508359426968891392,2022-03-28 11:24:46 EEST,2022-03-28,11:24:46,+0300,933466408457064450,wasem_whidi,وسيم 🇵🇸,,داعش مش موجود بعقيدتها قتال الاسرائيلي، ولو عدنا بالزمان لرأينا بعض شباب غزة ممن انخرط في صفوف المقاومة وعمل في وحداتها الخطيرة كان بعدما غُرر به قد ترك قتال اليهود وذهب لسوريا والعراق وبايع تنظيم الدولة ومنهم من فجر نفسه بحواجز الشرطة بغزة، فلا تصدقوا رواية الاحتلال.,ar,[],[],[],2,17,120,[],[],https://twitter.com/wasem_whidi/status/1508359426968891392,False,,0,,,,,,,,[],,,,
